"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation"
"19","Med","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",16.97,53.1985393477136,"Q >= newx1Med"
"20","Med","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",3.5,53.189275826522,"Q >= newx1Med"
"21","Med","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",18.05,53.1791454041541,"Q >= newx1Med"
"22","Med","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"23","Med","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"24","Med","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"25","High","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",22.39,68.7760263770756,"Q >= newx1High"
"26","High","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",5.87,68.7224208167508,"Q >= newx1High"
"27","High","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",23.65,68.7224484457377,"Q >= newx1High"
"28","High","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"29","High","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"30","High","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"31","Low","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",5.9,1.03104336580684,"Q >= min_limit & Q <= newx1Low"
"32","Low","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.06,1.0259712913645,"Q >= min_limit & Q <= newx1Low"
"33","Low","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",6.48,1.02698043451967,"Q >= min_limit & Q <= newx1Low"
"34","Low","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"35","Low","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"36","Low","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"37","Med","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",4.53,0.124606776599396,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"38","Med","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.04,0.872194437604145,"Q >= min_limit & Q <= newx1Med"
"39","Med","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",5.05,0.128651880596401,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"40","Med","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",5.57,0.877239030114555,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"41","Med","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Med"
"42","Med","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",6.14,0.873240790963461,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"43","High","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",4.66,0.254246118882164,"Q >= newx1High[1] & Q <= newx1High[2]"
"44","High","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0,0.261772270337377,"Q >= newx1High[1] & Q <= newx1High[2]"
"45","High","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",5.21,0.261681684687391,"Q >= newx1High[1] & Q <= newx1High[2]"
"46","High","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",5.33,0.747595205338791,"Q >= newx1High[1] & Q <= newx1High[2]"
"47","High","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.03,0.740116269648568,"Q >= newx1High[1] & Q <= newx1High[2]"
"48","High","Chub","Adult","Velocity","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",5.89,0.7406255500129,"Q >= newx1High[1] & Q <= newx1High[2]"
"49","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",3.01,37.6583501181684,"Q >= newx1Low"
"50","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.35,37.6583744744132,"Q >= newx1Low"
"51","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",10.26,37.6564036841426,"Q >= newx1Low"
"52","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"53","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"54","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"55","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",4.95,53.18927463367,"Q >= newx1Med"
"56","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",2.69,53.1892758143914,"Q >= newx1Med"
"57","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",13.88,53.1846921080368,"Q >= newx1Med"
"58","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"59","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"60","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"61","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",7.48,68.7201905598956,"Q >= newx1High"
"62","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",4.52,68.7206253059133,"Q >= newx1High"
"63","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",18.11,68.7269023720921,"Q >= newx1High"
"64","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"65","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"66","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"67","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",1.65,1.02597492128385,"Q >= min_limit & Q <= newx1Low"
"68","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.3,1.02597132523339,"Q >= min_limit & Q <= newx1Low"
"69","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",6.74,1.02612696862104,"Q >= min_limit & Q <= newx1Low"
"70","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"71","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"72","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"73","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.36,0.129694061360884,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"74","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.2,0.872194434966717,"Q >= min_limit & Q <= newx1Med"
"75","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",3.98,0.129296083534893,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"76","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",1.41,0.872194473432302,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"77","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Med"
"78","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",6.04,0.872267086603266,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"79","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.41,0.261772673951874,"Q >= newx1High[1] & Q <= newx1High[2]"
"80","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.01,0.261774888377957,"Q >= newx1High[1] & Q <= newx1High[2]"
"81","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",4.19,0.262066770256287,"Q >= newx1High[1] & Q <= newx1High[2]"
"82","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",1.23,0.740116260660528,"Q >= newx1High[1] & Q <= newx1High[2]"
"83","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.14,0.740116228495686,"Q >= newx1High[1] & Q <= newx1High[2]"
"84","High","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",5.52,0.740115945881589,"Q >= newx1High[1] & Q <= newx1High[2]"
"85","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"86","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.15,37.657887094661,"Q >= newx1Low"
"87","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q < 0"
"88","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"89","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"90","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q < 0"
"91","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"92","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0"
"93","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q < 0"
"94","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"95","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0"
"96","Med","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q < 0"
"97","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"98","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0"
"99","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q < 0"
"100","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"101","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q < 0"
"102","High","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q < 0"
"103","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.02,0.0313768478035268,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"104","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.26,1.02594312233242,"Q >= min_limit & Q <= newx1Low"
"105","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.16,0.109266915897335,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"106","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",1.2,0.971147155574294,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"107","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"108","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.66,0.892623490705198,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"109","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.02,0.157882399295822,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"110","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0,0.129707369899783,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"111","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.18,0.203853331916526,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"112","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.96,0.844006135932158,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"113","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.17,0.87218116389024,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"114","Med","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.46,0.798035212150313,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"115","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.03,0.276751367968905,"Q >= newx1High[1] & Q <= newx1High[2]"
"116","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0,0.261779144145428,"Q >= newx1High[1] & Q <= newx1High[2]"
"117","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.22,0.302767921751974,"Q >= newx1High[1] & Q <= newx1High[2]"
"118","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.8,0.725137150002287,"Q >= newx1High[1] & Q <= newx1High[2]"
"119","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.11,0.74010939066076,"Q >= newx1High[1] & Q <= newx1High[2]"
"120","High","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.29,0.699120562765114,"Q >= newx1High[1] & Q <= newx1High[2]"
"121","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",5.77,37.6583789857488,"Q >= newx1Low"
"122","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",15.66,37.658328389168,"Q >= newx1Low"
"123","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.75,37.6583796765939,"Q >= newx1Low"
"124","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",30.46,37.6486104838271,"Q >= newx1Low"
"125","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"126","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"127","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"128","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",NA,NA,"Q >= newx1Low"
"129","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",11.1,53.1892765476809,"Q >= newx1Med"
"130","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",24.44,53.1893450847575,"Q >= newx1Med"
"131","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",4.17,53.1892758319177,"Q >= newx1Med"
"132","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",43.12,53.1978345537487,"Q >= newx1Med"
"133","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"134","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"135","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"136","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",NA,NA,"Q >= newx1Med"
"137","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",18.5,68.7205496665405,"Q >= newx1High"
"138","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",35.57,68.7253822646098,"Q >= newx1High"
"139","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",8.54,68.7201923317541,"Q >= newx1High"
"140","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",58.48,68.7254629666559,"Q >= newx1High"
"141","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"142","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"143","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"144","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",NA,NA,"Q >= newx1High"
"145","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",5.63,1.02597752663839,"Q >= min_limit & Q <= newx1Low"
"146","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",9.31,1.02600428522643,"Q >= min_limit & Q <= newx1Low"
"147","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.91,1.02597132897886,"Q >= min_limit & Q <= newx1Low"
"148","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",33.72,1.02598188678524,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"149","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"150","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"151","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"152","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",38.03,1.02598188678524,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"153","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.65,0.129694072570108,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"154","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",3.46,0.129693401160422,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"155","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.54,0.872194440949749,"Q >= min_limit & Q <= newx1Med"
"156","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",9.89,0.12962075203092,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"157","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",4.74,0.872195268655707,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"158","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",8.03,0.872195225395494,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"159","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Med"
"160","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",30.77,0.872202466843285,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"161","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.84,0.261772250923595,"Q >= newx1High[1] & Q <= newx1High[2]"
"162","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",4.29,0.261771291459447,"Q >= newx1High[1] & Q <= newx1High[2]"
"163","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.23,0.740116234842424,"Q >= min_limit & Q <= newx1High"
"164","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",10.49,0.261791167525284,"Q >= newx1High[1] & Q <= newx1High[2]"
"165","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",3.13,0.74011626160093,"Q >= newx1High[1] & Q <= newx1High[2]"
"166","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",7.09,0.740095039037663,"Q >= newx1High[1] & Q <= newx1High[2]"
"167","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1High"
"168","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice4",20.2,0.740115798727899,"Q >= newx1High[1] & Q <= newx1High[2]"
"169","Low","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"170","Low","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.04,37.6583805352394,"Q >= newx1Low"
"171","Low","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"172","Low","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"173","Med","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
"174","Med","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",3.17,53.1892758362254,"Q >= newx1Med"
"175","Med","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q < 0"
