"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation","code","LimitBound","Flag"
"13","Low","Chub","Adult","Velocity","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.34,1.02597128974191,"Q <= limit[1] & Q >= limit[2]","K01-011_slice2","Lower","N"
"14","Med","Chub","Adult","Velocity","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.11,0.872194443406783,"Q <= limit[1] & Q >= limit[2]","K01-011_slice2","Upper","N"
"15","Med","Chub","Adult","Velocity","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.26,0.872194443406783,"Q <= limit[1] & Q >= limit[2]","K01-011_slice2","Lower","N"
"16","High","Chub","Adult","Velocity","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.04,0.740116262788482,"Q <= limit[1] & Q >= limit[2]","K01-011_slice2","Upper","N"
"17","High","Chub","Adult","Velocity","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.08,0.740116262788482,"Q <= limit[1] & Q >= limit[2]","K01-011_slice2","Lower","N"
"18","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",1.09,1.02597128940341,"Q <= limit[1] & Q >= limit[2]","L02-031_slice4","Upper","N"
"19","Low","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",4.09,1.02597128940341,"Q <= limit[1] & Q >= limit[2]","L02-031_slice4","Lower","N"
"20","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",0.49,0.87219443342047,"Q <= limit[1] & Q >= limit[2]","L02-031_slice4","Upper","N"
"21","Med","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",1.71,0.87219443342047,"Q <= limit[1] & Q >= limit[2]","L02-031_slice4","Lower","N"
"22","Low","Chub","Adult","Velocity","L02-040","210422_San_Juan_Existing_Conditions","slice4",0.34,1.02746190135377,"Q <= limit[1] & Q >= limit[2]","L02-040_slice4","Upper","N"
"23","Low","Chub","Adult","Velocity","L02-040","210422_San_Juan_Existing_Conditions","slice4",0.42,1.02746190135377,"Q <= limit[1] & Q >= limit[2]","L02-040_slice4","Lower","N"
"24","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.69,0.872194466338603,"Q <= limit[1] & Q >= limit[2]","L04-010_slice2","Upper","N"
"25","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.86,0.872194466338603,"Q <= limit[1] & Q >= limit[2]","L04-010_slice2","Lower","N"
"26","Med","Chub","Adult","Velocity","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.19,0.872194433939893,"Q <= limit[1] & Q >= limit[2]","M01-020_slice2","Upper","N"
"27","Med","Chub","Adult","Velocity","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.24,0.872194433939893,"Q <= limit[1] & Q >= limit[2]","M01-020_slice2","Lower","N"
"28","Low","Chub","Adult","Velocity","J01-030","201105_Aliso_Recalibration_Update","slice3",0.13,1.02597129641805,"Q <= limit[1] & Q >= limit[2]","J01-030_slice3","Upper","N"
"29","Low","Chub","Adult","Velocity","J01-030","201105_Aliso_Recalibration_Update","slice3",0.19,1.02597129641805,"Q <= limit[1] & Q >= limit[2]","J01-030_slice3","Lower","N"
"30","Med","Chub","Adult","Velocity","J01-040","201105_Aliso_Recalibration_Update","slice4",4.62,0.872194435855747,"Q <= limit[1] & Q >= limit[2]","J01-040_slice4","Upper","N"
"31","Med","Chub","Adult","Velocity","J01-040","201105_Aliso_Recalibration_Update","slice4",5.11,0.872194435855747,"Q <= limit[1] & Q >= limit[2]","J01-040_slice4","Lower","N"
"32","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.35,37.6583744744132,"Q >= limit","I01-012_slice2","Lower","N"
"33","Low","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","I01-012_slice2","Lower","N"
"34","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",2.69,53.1892758143914,"Q >= limit","I01-012_slice2","Lower","N"
"35","Med","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","I01-012_slice2","Lower","N"
"36","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",4.52,68.7206253059133,"Q >= limit","I01-012_slice2","Lower","N"
"37","High","Chub","Adult","Depth","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","I01-012_slice2","Lower","N"
"38","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.15,37.657887094661,"Q >= limit","I01-020_slice2","Lower","N"
"39","Low","Chub","Adult","Depth","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","I01-020_slice2","Lower","N"
"40","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.75,37.6583796765939,"Q >= limit","K01-010_slice3","Lower","N"
"41","Low","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= limit","K01-010_slice3","Lower","N"
"42","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",4.17,53.1892758319177,"Q >= limit","K01-010_slice3","Lower","N"
"43","Med","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= limit","K01-010_slice3","Lower","N"
"44","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",8.54,68.7201923317541,"Q >= limit","K01-010_slice3","Lower","N"
"45","High","Chub","Adult","Depth","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= limit","K01-010_slice3","Lower","N"
"46","Low","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.04,37.6583805352394,"Q >= limit","K01-011_slice2","Lower","N"
"47","Low","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-011_slice2","Lower","N"
"48","Med","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",3.17,53.1892758362254,"Q >= limit","K01-011_slice2","Lower","N"
"49","Med","Chub","Adult","Depth","K01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-011_slice2","Lower","N"
"50","Low","Chub","Adult","Depth","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.9,37.6583286631917,"Q >= limit","K01-020_slice2","Lower","N"
"51","Low","Chub","Adult","Depth","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-020_slice2","Lower","N"
"52","Med","Chub","Adult","Depth","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",3.86,53.1892756325784,"Q >= limit","K01-020_slice2","Lower","N"
"53","Med","Chub","Adult","Depth","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-020_slice2","Lower","N"
"54","High","Chub","Adult","Depth","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",6.58,68.7205082737001,"Q >= limit","K01-020_slice2","Lower","N"
"55","High","Chub","Adult","Depth","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-020_slice2","Lower","N"
"56","Low","Chub","Adult","Depth","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",2.17,37.6583820940008,"Q >= limit","K01-030_slice2","Lower","N"
"57","Low","Chub","Adult","Depth","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-030_slice2","Lower","N"
"58","Med","Chub","Adult","Depth","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",4.65,53.1892758279566,"Q >= limit","K01-030_slice2","Lower","N"
"59","Med","Chub","Adult","Depth","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-030_slice2","Lower","N"
"60","High","Chub","Adult","Depth","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",8.17,68.7261221709317,"Q >= limit","K01-030_slice2","Lower","N"
"61","High","Chub","Adult","Depth","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= limit","K01-030_slice2","Lower","N"
"62","Low","Chub","Adult","Depth","L01-080","210422_San_Juan_Existing_Conditions","slice3",2.07,37.6583800739975,"Q >= limit","L01-080_slice3","Lower","N"
"63","Low","Chub","Adult","Depth","L01-080","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L01-080_slice3","Lower","N"
"64","Med","Chub","Adult","Depth","L01-080","210422_San_Juan_Existing_Conditions","slice3",5.39,53.1892758526722,"Q >= limit","L01-080_slice3","Lower","N"
"65","Med","Chub","Adult","Depth","L01-080","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L01-080_slice3","Lower","N"
"66","High","Chub","Adult","Depth","L01-080","210422_San_Juan_Existing_Conditions","slice3",10.29,68.7211526664245,"Q >= limit","L01-080_slice3","Lower","N"
"67","High","Chub","Adult","Depth","L01-080","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L01-080_slice3","Lower","N"
"68","Low","Chub","Adult","Depth","L01-100","210422_San_Juan_Existing_Conditions","slice3",12.22,37.6583525612638,"Q >= limit","L01-100_slice3","Lower","N"
"69","Low","Chub","Adult","Depth","L01-100","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L01-100_slice3","Lower","N"
"70","Med","Chub","Adult","Depth","L01-100","210422_San_Juan_Existing_Conditions","slice3",30.15,53.2270840518459,"Q >= limit","L01-100_slice3","Lower","N"
"71","Med","Chub","Adult","Depth","L01-100","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L01-100_slice3","Lower","N"
"72","Low","Chub","Adult","Depth","L02-010","210422_San_Juan_Existing_Conditions","slice2",11.01,37.6583748336339,"Q >= limit","L02-010_slice2","Lower","N"
"73","Low","Chub","Adult","Depth","L02-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-010_slice2","Lower","N"
"74","Med","Chub","Adult","Depth","L02-010","210422_San_Juan_Existing_Conditions","slice2",24.38,53.1892384455529,"Q >= limit","L02-010_slice2","Lower","N"
"75","Med","Chub","Adult","Depth","L02-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-010_slice2","Lower","N"
"76","Low","Chub","Adult","Depth","L02-020","210422_San_Juan_Existing_Conditions","slice1",1.84,37.658382385741,"Q >= limit","L02-020_slice1","Lower","N"
"77","Low","Chub","Adult","Depth","L02-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= limit","L02-020_slice1","Lower","N"
"78","Med","Chub","Adult","Depth","L02-020","210422_San_Juan_Existing_Conditions","slice1",4.11,53.1892758351137,"Q >= limit","L02-020_slice1","Lower","N"
"79","Med","Chub","Adult","Depth","L02-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= limit","L02-020_slice1","Lower","N"
"80","High","Chub","Adult","Depth","L02-020","210422_San_Juan_Existing_Conditions","slice1",7.74,68.7201695428246,"Q >= limit","L02-020_slice1","Lower","N"
"81","High","Chub","Adult","Depth","L02-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= limit","L02-020_slice1","Lower","N"
"82","Low","Chub","Adult","Depth","L02-021","210422_San_Juan_Existing_Conditions","slice3",1.29,37.6583821979694,"Q >= limit","L02-021_slice3","Lower","N"
"83","Low","Chub","Adult","Depth","L02-021","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L02-021_slice3","Lower","N"
"84","Med","Chub","Adult","Depth","L02-021","210422_San_Juan_Existing_Conditions","slice3",2.65,53.1892758380425,"Q >= limit","L02-021_slice3","Lower","N"
"85","Med","Chub","Adult","Depth","L02-021","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L02-021_slice3","Lower","N"
"86","High","Chub","Adult","Depth","L02-021","210422_San_Juan_Existing_Conditions","slice3",4.52,68.7201758567104,"Q >= limit","L02-021_slice3","Lower","N"
"87","High","Chub","Adult","Depth","L02-021","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L02-021_slice3","Lower","N"
"88","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",15.78,37.658381531457,"Q >= limit","L02-022_slice2","Lower","N"
"89","Low","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-022_slice2","Lower","N"
"90","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",35.99,53.1892758319745,"Q >= limit","L02-022_slice2","Lower","N"
"91","Med","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-022_slice2","Lower","N"
"92","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",68.36,68.722935826449,"Q >= limit","L02-022_slice2","Lower","N"
"93","High","Chub","Adult","Depth","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-022_slice2","Lower","N"
"94","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",2.38,37.6583820655415,"Q >= limit","L02-023_slice4","Lower","N"
"95","Low","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-023_slice4","Lower","N"
"96","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",4.86,53.1892758330683,"Q >= limit","L02-023_slice4","Lower","N"
"97","Med","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-023_slice4","Lower","N"
"98","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",8.34,68.7201698503389,"Q >= limit","L02-023_slice4","Lower","N"
"99","High","Chub","Adult","Depth","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-023_slice4","Lower","N"
"100","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",4.35,37.6583821575258,"Q >= limit","L02-030_slice2","Lower","N"
"101","Low","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-030_slice2","Lower","N"
"102","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",10.86,53.1892758330325,"Q >= limit","L02-030_slice2","Lower","N"
"103","Med","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-030_slice2","Lower","N"
"104","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",21.6,68.7202634445658,"Q >= limit","L02-030_slice2","Lower","N"
"105","High","Chub","Adult","Depth","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-030_slice2","Lower","N"
"106","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",2.6,37.6583822190361,"Q >= limit","L02-031_slice4","Lower","N"
"107","Low","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-031_slice4","Lower","N"
"108","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",6.72,53.1892758329938,"Q >= limit","L02-031_slice4","Lower","N"
"109","Med","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-031_slice4","Lower","N"
"110","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",14.22,68.7202128455556,"Q >= limit","L02-031_slice4","Lower","N"
"111","High","Chub","Adult","Depth","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-031_slice4","Lower","N"
"112","Low","Chub","Adult","Depth","L02-040","210422_San_Juan_Existing_Conditions","slice4",2.94,37.6583810552841,"Q >= limit","L02-040_slice4","Lower","N"
"113","Low","Chub","Adult","Depth","L02-040","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-040_slice4","Lower","N"
"114","Med","Chub","Adult","Depth","L02-040","210422_San_Juan_Existing_Conditions","slice4",8.28,53.1892758330691,"Q >= limit","L02-040_slice4","Lower","N"
"115","Med","Chub","Adult","Depth","L02-040","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-040_slice4","Lower","N"
"116","High","Chub","Adult","Depth","L02-040","210422_San_Juan_Existing_Conditions","slice4",18.08,68.7202618294208,"Q >= limit","L02-040_slice4","Lower","N"
"117","High","Chub","Adult","Depth","L02-040","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= limit","L02-040_slice4","Lower","N"
"118","Low","Chub","Adult","Depth","L02-041","210422_San_Juan_Existing_Conditions","slice2",1.37,37.6583792913845,"Q >= limit","L02-041_slice2","Lower","N"
"119","Low","Chub","Adult","Depth","L02-041","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-041_slice2","Lower","N"
"120","Med","Chub","Adult","Depth","L02-041","210422_San_Juan_Existing_Conditions","slice2",4.12,53.1892758334904,"Q >= limit","L02-041_slice2","Lower","N"
"121","Med","Chub","Adult","Depth","L02-041","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-041_slice2","Lower","N"
"122","High","Chub","Adult","Depth","L02-041","210422_San_Juan_Existing_Conditions","slice2",8.86,68.7209760284703,"Q >= limit","L02-041_slice2","Lower","N"
"123","High","Chub","Adult","Depth","L02-041","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-041_slice2","Lower","N"
"124","Low","Chub","Adult","Depth","L02-050","210422_San_Juan_Existing_Conditions","slice2",2.4,37.6583785425462,"Q >= limit","L02-050_slice2","Lower","N"
"125","Low","Chub","Adult","Depth","L02-050","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-050_slice2","Lower","N"
"126","Med","Chub","Adult","Depth","L02-050","210422_San_Juan_Existing_Conditions","slice2",4.73,53.1892758370275,"Q >= limit","L02-050_slice2","Lower","N"
"127","Med","Chub","Adult","Depth","L02-050","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-050_slice2","Lower","N"
"128","High","Chub","Adult","Depth","L02-050","210422_San_Juan_Existing_Conditions","slice2",7.82,68.7202690821047,"Q >= limit","L02-050_slice2","Lower","N"
"129","High","Chub","Adult","Depth","L02-050","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-050_slice2","Lower","N"
"130","Low","Chub","Adult","Depth","L02-051","210422_San_Juan_Existing_Conditions","slice2",2.18,37.6583818288039,"Q >= limit","L02-051_slice2","Lower","N"
"131","Low","Chub","Adult","Depth","L02-051","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-051_slice2","Lower","N"
"132","Med","Chub","Adult","Depth","L02-051","210422_San_Juan_Existing_Conditions","slice2",4.45,53.1892758377973,"Q >= limit","L02-051_slice2","Lower","N"
"133","Med","Chub","Adult","Depth","L02-051","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-051_slice2","Lower","N"
"134","High","Chub","Adult","Depth","L02-051","210422_San_Juan_Existing_Conditions","slice2",7.46,68.7201974488648,"Q >= limit","L02-051_slice2","Lower","N"
"135","High","Chub","Adult","Depth","L02-051","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L02-051_slice2","Lower","N"
"136","Low","Chub","Adult","Depth","L03-010","210422_San_Juan_Existing_Conditions","slice2",2.49,37.6575110490118,"Q >= limit","L03-010_slice2","Lower","N"
"137","Low","Chub","Adult","Depth","L03-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L03-010_slice2","Lower","N"
"138","Med","Chub","Adult","Depth","L03-010","210422_San_Juan_Existing_Conditions","slice2",6.11,53.1892661281308,"Q >= limit","L03-010_slice2","Lower","N"
"139","Med","Chub","Adult","Depth","L03-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L03-010_slice2","Lower","N"
"140","High","Chub","Adult","Depth","L03-010","210422_San_Juan_Existing_Conditions","slice2",11.33,68.7321756074083,"Q >= limit","L03-010_slice2","Lower","N"
"141","High","Chub","Adult","Depth","L03-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L03-010_slice2","Lower","N"
"142","Low","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",0.48,37.6583822208871,"Q >= limit","L03-011_slice1","Lower","N"
"143","Low","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= limit","L03-011_slice1","Lower","N"
"144","Med","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",1.03,53.1892758329971,"Q >= limit","L03-011_slice1","Lower","N"
"145","Med","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= limit","L03-011_slice1","Lower","N"
"146","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",1.98,68.7201707600829,"Q >= limit","L03-011_slice1","Lower","N"
"147","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= limit","L03-011_slice1","Lower","N"
"148","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",2.64,37.6583815796609,"Q >= limit","L03-020_slice2","Lower","N"
"149","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L03-020_slice2","Lower","N"
"150","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",6.15,53.1892758330429,"Q >= limit","L03-020_slice2","Lower","N"
"151","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L03-020_slice2","Lower","N"
"152","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",11.48,68.7201919160723,"Q >= limit","L03-020_slice2","Lower","N"
"153","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L03-020_slice2","Lower","N"
"154","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.9,37.6583810397916,"Q >= limit","L04-010_slice2","Lower","N"
"155","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L04-010_slice2","Lower","N"
"156","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",2.13,53.1892758329816,"Q >= limit","L04-010_slice2","Lower","N"
"157","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L04-010_slice2","Lower","N"
"158","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",4.28,68.7201922976991,"Q >= limit","L04-010_slice2","Lower","N"
"159","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L04-010_slice2","Lower","N"
"160","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.85,37.658382270634,"Q >= limit","L05-010_slice2","Lower","N"
"161","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L05-010_slice2","Lower","N"
"162","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",1.85,53.1892758330095,"Q >= limit","L05-010_slice2","Lower","N"
"163","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L05-010_slice2","Lower","N"
"164","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",3.31,68.7201716276921,"Q >= limit","L05-010_slice2","Lower","N"
"165","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= limit","L05-010_slice2","Lower","N"
"166","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",1.44,37.6583822253199,"Q >= limit","L05-020_slice3","Lower","N"
"167","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L05-020_slice3","Lower","N"
"168","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",4.09,53.189275873714,"Q >= limit","L05-020_slice3","Lower","N"
"169","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= limit","L05-020_slice3","Lower","N"
"170","High","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",7.97,68.7212130123378,"Q >= limit","L05-020_slice3","Lower","N"
